run,run_short,step,metric,key,value
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,Gradient norm,actor/grad_norm,7.624312400817871
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,21,Rollout correct ratio,wdl_sft/correct_ratio,0.345703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,21,Gradient norm,actor/grad_norm,10.431927680969238
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,22,Rollout correct ratio,wdl_sft/correct_ratio,0.416015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,22,Gradient norm,actor/grad_norm,8.316381454467773
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,23,Rollout correct ratio,wdl_sft/correct_ratio,0.40234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,23,Gradient norm,actor/grad_norm,10.10755443572998
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,24,Rollout correct ratio,wdl_sft/correct_ratio,0.41015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,24,Gradient norm,actor/grad_norm,8.10262680053711
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4878048780487805
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,Rollout correct ratio,wdl_sft/correct_ratio,0.3046875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,25,Gradient norm,actor/grad_norm,9.973134994506836
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,26,Rollout correct ratio,wdl_sft/correct_ratio,0.443359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,26,Gradient norm,actor/grad_norm,8.67255973815918
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,27,Rollout correct ratio,wdl_sft/correct_ratio,0.43359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,27,Gradient norm,actor/grad_norm,7.433328628540039
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,28,Rollout correct ratio,wdl_sft/correct_ratio,0.376953125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,28,Gradient norm,actor/grad_norm,8.95300006866455
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,29,Rollout correct ratio,wdl_sft/correct_ratio,0.40234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,29,Gradient norm,actor/grad_norm,10.381596565246582
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,HumanEval+,val-core/HumanEval+/acc/pass@1,0.45121951219512196
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,MBPP+,val-core/MBPP+/acc/pass@1,0.49206349206349204
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,Rollout correct ratio,wdl_sft/correct_ratio,0.376953125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.018292682926829267
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,30,Gradient norm,actor/grad_norm,9.640140533447266
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,31,Rollout correct ratio,wdl_sft/correct_ratio,0.421875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,31,Gradient norm,actor/grad_norm,7.276387691497803
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,32,Rollout correct ratio,wdl_sft/correct_ratio,0.43359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,32,Gradient norm,actor/grad_norm,8.102713584899902
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,33,Rollout correct ratio,wdl_sft/correct_ratio,0.4375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,33,Gradient norm,actor/grad_norm,8.145942687988281
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,34,Rollout correct ratio,wdl_sft/correct_ratio,0.427734375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,34,Gradient norm,actor/grad_norm,8.623152732849121
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,HumanEval+,val-core/HumanEval+/acc/pass@1,0.47560975609756095
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,MBPP+,val-core/MBPP+/acc/pass@1,0.4894179894179894
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.15625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,Rollout correct ratio,wdl_sft/correct_ratio,0.408203125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,35,Gradient norm,actor/grad_norm,8.379478454589844
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,36,Rollout correct ratio,wdl_sft/correct_ratio,0.3984375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,36,Gradient norm,actor/grad_norm,9.096214294433594
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,37,Rollout correct ratio,wdl_sft/correct_ratio,0.51171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,37,Gradient norm,actor/grad_norm,7.533849716186523
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,38,Rollout correct ratio,wdl_sft/correct_ratio,0.369140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,38,Gradient norm,actor/grad_norm,9.092803955078125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,39,Rollout correct ratio,wdl_sft/correct_ratio,0.458984375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,39,Gradient norm,actor/grad_norm,8.03221607208252
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,MBPP+,val-core/MBPP+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,Rollout correct ratio,wdl_sft/correct_ratio,0.412109375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,40,Gradient norm,actor/grad_norm,8.851851463317871
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,41,Rollout correct ratio,wdl_sft/correct_ratio,0.41796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,41,Gradient norm,actor/grad_norm,9.446784019470215
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,42,Rollout correct ratio,wdl_sft/correct_ratio,0.431640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,42,Gradient norm,actor/grad_norm,8.57108211517334
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,43,Rollout correct ratio,wdl_sft/correct_ratio,0.37890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,43,Gradient norm,actor/grad_norm,9.253618240356445
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,44,Rollout correct ratio,wdl_sft/correct_ratio,0.4609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,44,Gradient norm,actor/grad_norm,8.580636978149414
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,HumanEval+,val-core/HumanEval+/acc/pass@1,0.47560975609756095
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,MBPP+,val-core/MBPP+/acc/pass@1,0.5158730158730159
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,Rollout correct ratio,wdl_sft/correct_ratio,0.41015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,45,Gradient norm,actor/grad_norm,8.528867721557617
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,46,Rollout correct ratio,wdl_sft/correct_ratio,0.4765625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,46,Gradient norm,actor/grad_norm,7.917435646057129
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,47,Rollout correct ratio,wdl_sft/correct_ratio,0.53125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,47,Gradient norm,actor/grad_norm,6.838563442230225
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,48,Rollout correct ratio,wdl_sft/correct_ratio,0.423828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,48,Gradient norm,actor/grad_norm,8.332080841064453
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,49,Rollout correct ratio,wdl_sft/correct_ratio,0.46484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,49,Gradient norm,actor/grad_norm,6.937053680419922
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,MBPP+,val-core/MBPP+/acc/pass@1,0.5026455026455027
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,Rollout correct ratio,wdl_sft/correct_ratio,0.505859375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,50,Gradient norm,actor/grad_norm,8.437183380126953
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,51,Rollout correct ratio,wdl_sft/correct_ratio,0.482421875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,51,Gradient norm,actor/grad_norm,7.512362480163574
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,52,Rollout correct ratio,wdl_sft/correct_ratio,0.4453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,52,Gradient norm,actor/grad_norm,7.955750942230225
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,53,Rollout correct ratio,wdl_sft/correct_ratio,0.478515625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,53,Gradient norm,actor/grad_norm,7.9306254386901855
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,54,Rollout correct ratio,wdl_sft/correct_ratio,0.416015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,54,Gradient norm,actor/grad_norm,8.953369140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4573170731707317
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,MBPP+,val-core/MBPP+/acc/pass@1,0.5079365079365079
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,Rollout correct ratio,wdl_sft/correct_ratio,0.470703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,55,Gradient norm,actor/grad_norm,6.655730247497559
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,56,Rollout correct ratio,wdl_sft/correct_ratio,0.39453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,56,Gradient norm,actor/grad_norm,8.554680824279785
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,57,Rollout correct ratio,wdl_sft/correct_ratio,0.50390625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,57,Gradient norm,actor/grad_norm,8.044209480285645
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,58,Rollout correct ratio,wdl_sft/correct_ratio,0.41015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,58,Gradient norm,actor/grad_norm,9.401358604431152
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,59,Rollout correct ratio,wdl_sft/correct_ratio,0.48828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,59,Gradient norm,actor/grad_norm,7.094832897186279
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4817073170731707
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,MBPP+,val-core/MBPP+/acc/pass@1,0.49206349206349204
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,Rollout correct ratio,wdl_sft/correct_ratio,0.4140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,60,Gradient norm,actor/grad_norm,7.650933742523193
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,61,Rollout correct ratio,wdl_sft/correct_ratio,0.4453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,61,Gradient norm,actor/grad_norm,7.411802768707275
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,62,Rollout correct ratio,wdl_sft/correct_ratio,0.392578125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,62,Gradient norm,actor/grad_norm,9.748636245727539
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,63,Rollout correct ratio,wdl_sft/correct_ratio,0.458984375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,63,Gradient norm,actor/grad_norm,8.203560829162598
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,64,Rollout correct ratio,wdl_sft/correct_ratio,0.380859375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,64,Gradient norm,actor/grad_norm,9.349596977233887
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4817073170731707
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,MBPP+,val-core/MBPP+/acc/pass@1,0.5211640211640212
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,Rollout correct ratio,wdl_sft/correct_ratio,0.4453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,65,Gradient norm,actor/grad_norm,7.691793441772461
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,66,Rollout correct ratio,wdl_sft/correct_ratio,0.517578125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,66,Gradient norm,actor/grad_norm,6.080209255218506
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,67,Rollout correct ratio,wdl_sft/correct_ratio,0.5234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,67,Gradient norm,actor/grad_norm,7.836827278137207
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,68,Rollout correct ratio,wdl_sft/correct_ratio,0.41015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,68,Gradient norm,actor/grad_norm,10.121855735778809
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,69,Rollout correct ratio,wdl_sft/correct_ratio,0.4609375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,69,Gradient norm,actor/grad_norm,7.675869941711426
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5060975609756098
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,MBPP+,val-core/MBPP+/acc/pass@1,0.5079365079365079
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,Rollout correct ratio,wdl_sft/correct_ratio,0.43359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,70,Gradient norm,actor/grad_norm,8.437723159790039
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,71,Rollout correct ratio,wdl_sft/correct_ratio,0.39453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,71,Gradient norm,actor/grad_norm,9.014296531677246
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,72,Rollout correct ratio,wdl_sft/correct_ratio,0.41015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,72,Gradient norm,actor/grad_norm,7.8355817794799805
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,73,Rollout correct ratio,wdl_sft/correct_ratio,0.4765625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,73,Gradient norm,actor/grad_norm,8.284707069396973
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,74,Rollout correct ratio,wdl_sft/correct_ratio,0.375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,74,Gradient norm,actor/grad_norm,9.168868064880371
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5060975609756098
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,MBPP+,val-core/MBPP+/acc/pass@1,0.5185185185185185
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,Rollout correct ratio,wdl_sft/correct_ratio,0.50390625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,75,Gradient norm,actor/grad_norm,6.915094375610352
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,76,Rollout correct ratio,wdl_sft/correct_ratio,0.548828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,76,Gradient norm,actor/grad_norm,7.450881004333496
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,77,Rollout correct ratio,wdl_sft/correct_ratio,0.517578125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,77,Gradient norm,actor/grad_norm,7.214416027069092
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,78,Rollout correct ratio,wdl_sft/correct_ratio,0.439453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,78,Gradient norm,actor/grad_norm,8.265876770019531
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,79,Rollout correct ratio,wdl_sft/correct_ratio,0.50390625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,79,Gradient norm,actor/grad_norm,7.307372093200684
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5121951219512195
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,MBPP+,val-core/MBPP+/acc/pass@1,0.5132275132275133
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,Rollout correct ratio,wdl_sft/correct_ratio,0.548828125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,80,Gradient norm,actor/grad_norm,7.0837578773498535
